0.29,0.56,0.45,0.34,0.16
0.09,0.09,0.08,0.08,0.09
533.95,215.63,173.77,217.64,207.82
288.64,110.3,87.51,108.97,102.92
356.7,130.72,104.44,131.45,125.33
174.2,59.86,46.84,58.88,55.8
718.37,263.95,212.41,265.4,256.67
513.96,182.81,148.44,185.78,177.2
1.08,0.54,0.45,0.62,0.24
2.09,2.62,2.08,0.57,0.44
1.24,0.93,0.78,0.93,0.32
4.19,1.27,0.99,1.18,0.91
2.67,1.32,1.04,1.25,0.72
2.95,2.07,1.66,1.28,0.91
2.99,7.98,5.94,0.93,0.81
0.19,0.32,0.26,0.18,0.05
0.19,0.32,0.26,0.18,0.05
0.29,0.44,0.35,0.34,0.11
0.67,1.12,0.96,0.94,0.29
3.45,2.55,1.94,0.87,0.95
0.04,0.08,0.07,0.07,0.02
0.1,0.33,0.27,0.27,0.06
1.57,0.84,0.63,0.41,0.37
2.91,1.05,0.8,0.8,0.73
0.25,0.7,0.58,0.61,0.18
0.07,0.11,0.1,0.12,0.02
14.41,7.24,5.36,3.64,3.64
17.84,26.46,23.27,3.63,2.76
13.4,38.26,32.22,3.09,2.6
0.2,0.33,0.25,0.16,0.05
0.17,0.28,0.21,0.14,0.04
0.12,0.09,0.06,0.07,0.03
0.11,0.1,0.08,0.08,0.03
2.97,4.43,3.6,0.72,0.61
63.69,29.14,27.72,21.64,19.01
1.47,0.35,0.27,0.36,0.32
11.59,3.2,2.82,3.2,3.1
1.23,0.82,0.64,0.48,0.33
0.44,0.13,0.09,0.14,0.11
0.21,0.25,0.2,0.17,0.06
0.1,0.1,0.07,0.07,0.03
2.29,0.92,0.71,0.66,0.58
0.14,0.16,0.13,0.11,0.04
6.37,3.47,2.68,1.53,1.34
6.84,2.7,2.11,2.17,1.27
12.84,8.61,6.79,3.06,3.17
13.63,6.1,4.73,4.3,2.48
24.18,48.71,38.7,6,5.26
0.86,0.4,0.35,0.33,0.36
2.03,1.04,0.75,0.68,0.56
1.4,0.85,0.74,0.72,0.72
15.7,7.82,5.76,5.3,4.31
30.55,12.98,10.01,9.37,5.23
1.24,3.22,2.49,0.47,0.32
0.84,5.29,3.52,0.47,0.26
2.53,6.43,5.02,0.87,0.53
2.54,6.43,5.02,0.87,0.53
5.91,1.88,1.46,1.08,0.85
0.08,0.08,0.06,0.07,0.03
0.87,1.96,1.49,1.02,0.31
1.69,0.52,0.42,0.5,0.4
47.71,17.53,13.21,15.86,12.48
30.07,9.56,7.5,6.95,6.49
0.06,0.11,0.1,0.12,0.04
0.27,0.13,0.09,0.1,0.07
0.15,0.12,0.09,0.1,0.04
0.94,1.56,1.2,0.73,0.34
4.7,1.45,1.11,1.33,1.24
9,2.62,2.02,2.58,2.2
33.33,10.96,8.57,7.43,6.91
5.39,3.36,2.62,1.27,1.22
5.37,1.7,1.34,1.23,0.85
0.46,0.12,0.09,0.12,0.12
10.16,5.23,3.78,2.48,3.09
0.35,0.21,0.17,0.2,0.15
3.51,10.11,7.96,1.09,0.81
0.92,1.24,1.16,1.28,0.47
18.13,7.92,7.84,5.73,5.4
4.2,1.54,1.24,1.6,1.33
43.85,16.59,12.63,13.85,11.93
0.24,0.23,0.21,0.18,0.14
0.06,0.07,0.05,0.06,0.03
2.84,2.32,1.75,1.1,0.58
1.41,0.86,0.74,0.73,0.72
0.76,0.52,0.54,0.37,0.41
0.78,0.31,0.21,0.16,0.22
0.26,0.14,0.14,0.12,0.2
0.82,0.57,0.4,0.2,0.29
0.32,0.28,0.27,0.19,0.23
0.88,0.83,0.58,0.27,0.35
0.35,0.35,0.32,0.23,0.24
0.48,1.61,1.1,0.18,0.13
0.76,0.52,0.54,0.37,0.4
0.59,2.51,1.72,0.24,0.17
0.89,0.88,0.84,0.53,0.58
0.45,0.64,0.44,0.13,0.1
0.99,1.2,1.1,0.65,0.74
0.72,0.29,0.23,0.21,0.26
0.34,0.39,0.35,0.31,0.2
0.85,0.56,0.45,0.4,0.44
0.46,0.59,0.52,0.45,0.31
0.05,0.05,0.05,0.06,0.01
0.19,0.17,0.16,0.14,0.12
2.82,2.34,1.82,1.13,0.58
0.06,0.07,0.05,0.06,0.03
0.61,0.57,0.37,0.14,0.18
1.03,0.51,0.42,0.6,0.24
0.62,0.72,0.48,0.14,0.19
249.84,113.11,87.27,104.59,52.56
0.21,0.17,0.16,0.19,0.07
3.7,1.47,1.13,1.39,1.43
105.99,10.6,8.71,11.14,9.51
81.74,9.02,7.41,10.38,8.84
92.21,10.61,8.42,8.39,7.98
0.12,0.11,0.07,0.07,0.03
0.13,0.11,0.07,0.07,0.03
0.13,0.11,0.07,0.07,0.03
0.12,0.11,0.07,0.07,0.03
0.12,0.1,0.07,0.07,0.03
0.12,0.1,0.07,0.07,0.03
0.11,0.1,0.08,0.08,0.03
0.11,0.09,0.06,0.06,0.03
0.12,0.1,0.07,0.07,0.03
0.12,0.11,0.08,0.07,0.03
0.12,0.12,0.09,0.07,0.03
0.15,0.16,0.12,0.09,0.04
42.13,14.65,10.45,13.32,9.07
0.73,0.22,0.17,0.21,0.18
1.11,0.31,0.24,0.29,0.25
0.24,0.65,0.6,0.66,0.08
0.23,0.65,0.6,0.66,0.07
0.31,0.21,0.15,0.11,0.1
1.27,3.13,2.22,0.81,0.35
11.12,31.52,24.43,2.57,2.2
40.81,116.51,95.93,8.92,7.56
0.36,0.48,0.37,0.32,0.1
0.08,0.16,0.2,0.14,0.44
0.1,0.22,0.3,0.18,0.54
0.1,0.24,0.32,0.2,0.54
0.04,0.05,0.04,0.05,0.02
0.04,0.06,0.04,0.06,0.03
0.04,0.05,0.05,0.06,0.03
0.05,0.05,0.05,0.06,0.03
0.05,0.06,0.05,0.06,0.03
0.05,0.06,0.05,0.06,0.03
0.05,0.06,0.05,0.06,0.03
0.05,0.06,0.05,0.06,0.02
0.05,0.06,0.05,0.06,0.02
0.05,0.06,0.05,0.06,0.02
0.67,1.01,0.76,0.25,0.21
1.8,0.8,0.67,0.66,0.62
2.83,1.67,1.36,0.93,0.93
3.99,3.69,3.01,1.14,1.19
5.42,7.69,6.26,1.46,1.62
7.45,17.07,13.6,1.88,1.94
10.16,37.42,29.06,2.57,2.61
0.11,0.11,0.09,0.08,0.03
0.13,0.29,0.23,0.23,0.04
